2023-12-21 18:12:865 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:371 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:981 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:322 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:914 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:732 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:145 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:501 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:306 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:828 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:213 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 18:12:988 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 22:12:847 INFO  ManageBrowser :33 - Chrome Browser Launch .....
2023-12-21 22:12:307 INFO  ManageBrowser :39 - Mouse hovering on buy + sell : [[[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']], [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[@class = 'uhf-top']]]
2023-12-21 22:12:559 INFO  ManageBrowser :44 - Clicking on search cars option in buy + sell menu : [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> xpath: //a[text()='Search Cars']]
2023-12-21 22:12:798 INFO  ManageBrowser :40 - Getting welcome text from New and Used car Search page : New & Used Car Search - carsguide
2023-12-21 22:12:929 INFO  ManageBrowser :46 - Selecting Audi in makes dropdown : [[ChromeDriver: chrome on windows (dbcbdca3770d2188f4870d8a34dcd5b6)] -> id: makes]
